region,Low,Moderate,High
Tabora,407.0434493185249,20793.553149070132,54466.20735258658
Lindi,2753.0274834371053,25846.18004152896,38199.99761276379
Morogoro,12459.814834010034,29954.459164708354,26466.90168680882
Dodoma,3203.2358288667897,12787.893755848772,25632.70966865966
Ruvuma,8437.648829500919,31129.84546587789,23055.80957888118
Singida,1163.4103867982267,24357.477716029425,22674.809122764276
Pwani,1367.5726574260848,13696.121546523585,15345.919148781893
Manyara,6649.138108833629,22888.37833278893,14779.941442368136
Arusha,8638.865140816244,14693.1679214192,13716.550789156261
Tanga,4030.032290017713,11347.012150557812,12378.085082249578
Katavi,8592.088924094325,22894.244117897157,11827.592984776365
Iringa,8917.915937074435,14480.567948010153,11220.226747707608
Songwe,3749.803263669534,23051.959931457248,9967.04651204136
Shinyanga,415.5050754469458,8396.238454270013,9601.237368309112
Simiyu,2977.9668180942126,12979.743342832171,7327.3110501340725
Mbeya,5107.672950625698,12300.165446300925,6418.760657080774
Rukwa,2161.432999356703,14037.938715139948,4827.300783686926
Kilimanjaro,3942.3594153378194,3739.0584547920553,4748.766582699996
Mtwara,522.4859344245119,12099.482534464514,4722.0818683438465
Mwanza,1439.6413890346803,5798.493308120511,2925.2931205390096
Njombe,11334.078955920293,8439.808353633854,1951.2579668241003
Kigoma,15933.2962933529,18969.00141905502,1913.9457775924254
Geita,6406.05548258527,11900.932826380373,1801.562881965253
Mara,7819.669348890044,11979.211784367066,1347.3678939284011
Dar  Es Salaam,18.000129733611747,484.75853391520855,1043.6291048966912
Kagera,19037.349726996024,4312.770670633269,845.5196934551295
